"AW","Aw"
"AA","Aa"
"AB","Ab"
"Au","AU"
"BC","B.C.","B.C"
"Ai","A.I.","A. I."
"CE","C.E.","C.E"
"Egolessness","Crowley on egolessness"
"Branch predictor","Branch prediction"
"The Beatles","Beatles"
"Duck family (Disney)","April, May and June Duck","Abner Duck","Della Thelma Duck","Daphne Duck"
"AWK","Awk"
"AAL","Aal"
"BSE","Bse"
"DAO","Dao"
"DES","DES (disambiguation)"
"DNA","Dna"
"DVD","Digital video disc","Digital Versatile Disc"
"DOD","DoD"
"ETA","Basque Fatherland and Liberty"
"Dog","Canis familiaris"
"Pub","British public houses"
"Incubator (culture)","Cell Incubator","Cell incubator"
"MP3","Data compression/MP3"
"Geologic time scale","Eon (geology)"
"Federal Assault Weapons Ban","Ban on assault rifles"
"Etiology","Aetiology"
"Daimler AG","Daimler-Chrysler"
"Claude Monet","Claude Oscar Monet"
"Albert of Hohenzollern","Albert of Brandenburg Prussia"
"Dark matter","Dark matter problem"
"Royal Cambodian Armed Forces","Military of Cambodia"
"Robert Byrd","Byrd, Robert"
"Sexual intercourse","Coitus"
"Digital Millennium Copyright Act","DMCA"
"Continuous function","Continuity property"
"Air force","Air Force"
"Constitution","ConstitutioN"
"Anarchism","Anarchist"
"UseModWiki","Clifford Adams"
"Amhrán na bhFiann","Amhrann na bhFiann"
"De Moivre's formula","DeMoivresFormula"
"The Birth of a Nation","BirthofaNation"
"Cumulative distribution function","CumulativeDistributionFunction"
"Anthroposophy","Anthrosophy"
"Asynchronous Transfer Mode","Asyncronous Transfer Mode"
"Five-spice powder","Chinese five spice"
"Antenna (radio)","Antenna theory"
"Scattered Islands in the Indian Ocean","Geography of Europa Island","Europa Island/People","Government of Europa Island","Transportation on Europa Island","Europa Island/Military","Europa Island/Transnational issues"
"Abgar V","Abgar"
"Agglutination","Agglutinative"
"Data Encryption Standard","DataEncryptionStandard"
"Equinox","Autumn equinox"
"The Book of Counted Sorrows","Book of Counted Sorrows"
"List of cities in Canada","Canada/cities"
"Dehydroepiandrosterone","DHEA"
"Claudio Monteverdi","Claudio Zuan Antonio Monteverdi"
"Zhang Sanfeng","Chang San-feng"
"Pope Alexander VI","Alexander VI"
"Abatement","Abatement of freehold","Abatement in litigation","Abatement of false lights","Abatement in commerce"
"Alexander the Great","AlexanderTheGreat"
"E. B. White","E.B. White"
"Automorphism","AutoMorphism"
"DiGeorge syndrome","Di George's syndrome"
"Cartesian coordinate system","Cartesian coordinates"
"Distillation","Distilling"
"Charlie Chaplin","CharlieChaplin","Charles Chaplin"
"Computer graphics","Computer Painting"
"Beast of Bodmin","Beast of bodmin"
"Coca-Cola","Coca Cola"
"Crimean War","Crimean war"
"Coriander","Cilantro","Coriander (plant)"
"Spectroscopy","Electromagnetic spectroscopy"
"Bundeskanzler","Federal Chancellor"
"Equivalence relation","EquivalenceRelation"
"Constitution of Canada","Canadian Constitution Act","Constitution of Canada/1867 III Executive Power","Constitution of Canada/1867 IV Legislative Power","Constitution of Canada/1867 V Provincial Constitutions","Constitution of Canada/1867 VIII Revenues Debts Assets Taxation","Constitution of Canada/1867 IX Miscellaneous Provisions","Constitution of Canada/1867 X Intercolonial Railway","Constitution of Canada/1867 XI Admission of Other Colonies"
"Chlorine","Cl"
"Batch processing","Batch job"
"Central nervous system","CNS"
"Widewuto","Cimbri/Waid"
"Cascade Range","Cascade Mountain Range"
"HMS Ark Royal","Ark Royal"
"Relative atomic mass","Atomic weight"
"Adémar de Chabannes","Adhemar de Chabannes"
"Calendar-based contraceptive methods","Calendar method"
"Anti-globalization movement","Anti-Globalization Movement","Anti-globalisation movement"
"PC game","Computer games"
"Complex number","Complex numbers"
"Easter","Easter Sunday"
"Executable and Linkable Format","ELF file format"
"The Consolation of Philosophy","ConsolationOfPhilosophy"
"Abdul Rashid Dostum","Abdul Rashid Dostam"
"Apollo program","Apollo Program"
"North American B-25 Mitchell","B-25"
"Canadian federalism","Constitution of Canada/1867 VI Distribution of Legislative Powers"
"Cusco (disambiguation)","Cuzco (disambiguation)"
"Outline of biochemistry","Wikipedia:Biochemistry basic topics"
"Bohemia","Boehmen"
"Graphics tablet","Digitizing tablet"
"Bicameralism (psychology)","Bicameral mind"
"Birth control","Contraception","Contraceptive"
"Bavarians","Bavarii"
"Anarchy","AnarchY"
"American football","AmericanFootball"
"Drama film","DramaFilm"
"Batting average","Baseball statistics/BA"
"History of astronomy","Astronomy/History","Astronomy and Astrophysics/History"
"Buckminster Fuller","Buckminister Fuller"
"Cult film","CultFilm","Cult Film"
"Estimation theory","Estimating parameters"
"Pierre Beaumarchais","Beaumarchais"
"Dziga Vertov","Denis Arkadievich Kaufman","Denis Abramovich Kaufman"
"Bhutan","Bhutan/Transnational issues"
"Clean Air Act (United States)","Clean Air Act (1970)"
"Nicolaus Copernicus","Copernicus"
"Biblical canon","DefinitionofBibleTerms"
"C*-algebra","B*-algebra","C-star algebra"
"Eliezer Yudkowsky","Eliezer S. Yudkowsky"
"Nuclear weapon","Atomic bomb","Atom Bomb"
"Ascending chain condition","Ascending Chain Condition","Descending chain condition","Descending Chain Condition"
"List of business schools in Asia","BusinessSchools/Asia"
"Argumentum ad populum","Argument from common consent"
"Ballroom dance","BallroomDance","Ballroom dancing"
"Accounting","Accountancy","Accounting and Bookkeeping"
"Dynamical systems theory","Dynamical systems and chaos theory"
"Inflation","Economy/Inflation"
"Elliptic curve cryptography","Elliptical Curve Cryptography"
"Coming out","Coming out of the closet"
"Africa","AfricA"
"Ciprofloxacin","Cipro"
"Fenrir","Dromi"
"Auto racing","AutoRacing","Automobile racing"
"Plasmid","Episome"
"Comment (computer programming)","Comment (computing)"
"History of Afghanistan","AfghanistanHistory","Afghanistan/History"
"African American","AfricanAmericanPeople"
"Antoine Lavoisier","Antoine Laurent Lavoisier"
"Daisy Duck","Donna Duck"
"Foreign relations of Argentina","Argentina/Transnational issues","Argentina/Foreign relations"
"Amputation","Amputees"
"Aesthetics","Aesthetic"
"Great Britain and Ireland","Britain and Ireland"
"A.C. Milan","AC Milan"
"Basil of Caesarea","Basil the Great"
"Amalthea (mythology)","Amaltheia"
"Telecommunications in Albania","AlbaniaCommunications"
"Parapsychology","Anomalous operation"
"Drum and bass","Electronic Music/Jungle","Electronic Music/Drum and Bass"
"Greek fire","Byzantine fire"
"Dave Grohl","DaveGrohl"
"Christianity and antisemitism","Christian anti-semitism","Christian antisemitism"
"Anomaly","Anomalous phenomenon"
"Kyoto Protocol","Climate Change-Kyoto Protocol"
"Glossary of climbing terms","On-sight climbing"
"Gautama Buddha","BuddHa"
"Engines of Creation","Engines of creation"
"Bird","Birds"
"Brainfuck","Brainfuck programming language/Examples"
"Dan Quayle","Danforth Quayle","James Danforth Quayle"
"Tachycardia","Cardiac arrhythmia/tachycardia"
"Mood disorder","Depression and Mood Disorders"
"BITS","Bits"
"Foreign relations of Afghanistan","AfghanistanTransnationalIssues","Afghanistan/Transnational Issues"
"AT&T","AT and T"
"Ad hominem","Argumentum ad hominum"
"Dolphin","Dolphins"
"Call of Cthulhu (role-playing game)","CallOfCthulhuGame"
"List of irregular English adjectives","Non-standard adjectives in the English language"
"ACID","ACID properties"
"Dance music","Dancing music"
"Economy of Afghanistan","Afghanistan/Economy"
"Abensberg","AbensbergGermany"
"Catherine of Aragon","Catharine of Aragon"
"The Angry Brigade","Angry Brigade"
"Coral Sea Islands","Coral Sea Islands/History","Coral Sea Islands/Geography","Coral Sea Islands/People","Coral Sea Islands/Government","Coral Sea Islands/Economy","Coral Sea Islands/Communications","Coral Sea Islands/Transportation","Coral Sea Islands/Military"
"Common Lisp","Common lisp"
"Electro (music)","Electro funk"
"Bryce Canyon National Park","Bryce Canyon"
"Doctor Doom","Dr. Doom"
"BBC Radio 1","BBC/Radio 1"
"Eric Hoffer","EricHoffer"
"Donald Knuth","Donald E Knuth","Donald E. Knuth"
"Jinn","Djinn"
"Book of Zechariah","Book of Zecharaiah"
"Word processor","Document Editor"
"Anglican Communion","Anglican Church"
"Naïve realism","DirectRealism","Direct realism"
"Cyan","Color/cyan"
"Lists of actors","ActresseS","ActressesS"
"Distributed computing","Distributed programming"
"Code","CodE"
"Cray","Cray Research"
"Red wolf","Canis rufus"
"Eisa","EISA"
"Helladic period","Early Helladic"
"Daniel Dennett","Daniel C. Dennett"
"Aurora","Aurora borealis","Aurora australis"
"Austroasiatic languages","AustroAsiaticLanguages"
"Belgium","Belgium/Belgie","Belgium/facts"
"Åland Islands","Aland"
"Blue crane","Anthropoides paradisia"
"Application firewall","Application layer firewalls"
"Aurochs","Auroch"
"Bosnia and Herzegovina","Bosnia Herzegovina"
"Outline of earth science","Earth Sciences basic topics"
"Garbage picking","Dumpster-diving"
"As We May Think","AsWeMayThink"
"City status in the United Kingdom","England/City"
"Existence","ExistencE"
"Oder","Baltic Sea/Odra"
"A. E. Housman","A E Housman"
"Books of the Bible","BooksOfTheBible"
"Ivory tower","AcademicElitism","Academic elitism"
"Estrous cycle","Estrus"
"List of minor characters in the Alice series","Eaglet (Alice's Adventures in Wonderland)"
"Ernest Hemingway","ErnestHemingway","ErnestHemingway/FamousatTwentyFiveThirtyaMaster","ErnestHemingway/FromBoytoManHemingwaysFirstWorldWar","ErnestHemingway/FromRealitytoFictionAFarewelltoArms","ErnestHemingway/TheTimeinBetween","ErnestHemingway/YoungandInnocent","ErnestHemingway/ThingsTurnSour","ErnestHemingway/TheEndlessDarkNothingness","ErnestHemingway/SureShotsTheSecondWorldWar","ErnestHemingway/TheDownwardSpiral","ErnestHemingway/ViolenceandRedemption","ErnestHemingway/WhyItWentWrong","ErnestHemingway/BibliographY","Things Turn Sour","The Endless Dark Nothingness","Famous at Twenty-Five Thirty a Master","From Boy to Man Hemingways First World War","From Reality to Fiction A Farewell to Arms","Sure Shots The Second World War","Violence and Redemption","Why It Went Wrong","Ernest Hemingway/Bibliography"
"The Black Cat (short story)","Edgar Allen Poe/The Black Cat","Edgar Allan Poe/The Black Cat"
"Epistle to the Hebrews","Book of Hebrews"
"English Channel","EnglishChannel"
"Albert of Aix","Albert Of Aix"
"Clay Mathematics Institute","Clay math prize"
"Los Angeles Angels of Anaheim","Anaheim Angels"
"Protocol on Environmental Protection to the Antarctic Treaty","Antarctic-Environmental Protocol"
"Ajax (mythology)","Ajax of Cyprus"
"Doctor Who","Dr Who"
"Continent","Continents"
"Dominance and submission","Domination and submission"
"Atlas Shrugged","AtlasShrugged","AtlasShruggedCompanies","AyersMusicPublishingCompany","Topics of note in Atlas Shrugged"
"Vacuum flask","Dewar flask"
"AbiWord","Abiword"
"Logic","College logic","DefinitionOfLogic"
"Aaron's rod","Aarons Rod","Aarons rod"
"Democratic Front for the Liberation of Palestine","DFLP"
"Auteur theory","Auteur Theory Film"
"Analcime","Analcim"
"Substance abuse","Drug of abuse"
"Diablo II: Lord of Destruction","Diablo II Lord of Destruction"
"Choctaw","Choctaws"
"Bijection, injection and surjection","BiJection"
"Dyson sphere","Dyson Sphere"
"E (mathematical constant)","Eulers number"
"Demographics of Afghanistan","AfghanistanPeople","Afghanistan/People"
"Strike zone","Ball (baseball statistics)"
"Primer walking","Chromosome walking"
"Foreign relations of Barbados","Barbados/Transnational issues"
"Nomic","AgoraNomic"
"Cognitive therapy","CognitiveTherapy"
"Discrete mathematics","Applied discrete math","Discrete math"
"Troll (Internet)","AOLamer"
"Multiplication","Arithmetic/Multiplication"
"Celestial mechanics","Celestial dynamics"
"Channel Islands","Channel Isles"
"Demon (disambiguation)","Daemon"
"Antiarrhythmic agent","Antiarrhythmic medication"
"Buddhist cuisine","Chinese buddhist cuisine"
"Sociocultural evolution","Cultural evolution"
"Dualism (philosophy of mind)","DualisticInteractionism","Dualistic interactionism"
"Encyclopædia Britannica Eleventh Edition","BritannicaPublicDomain","Britannica Public Domain"
"European influence in Afghanistan","Dost Mohammed and the British in Afghanistan"
"Compression","Compressed"
"Alliance '90/The Greens","Buendnis 90 - Die Gruenen"
"Banisteriopsis caapi","Caapi"
"Brewster's angle","Brewsters angle"
"Clam dip","Clam Dip"
"Ælfric","AElfric"
"Discordianism","Discordian"
"Pope Anastasius III","Anastasius III"
"Anti-Americanism","Hostility towards America"
"Dynamic HTML","DHTML"
"Anno Domini","A.D.","A.D"
"European Economic Community","European Community"
"Anointing of the Sick (Catholic Church)","Extreme unction","Extreme Unction"
"Alpha particle","Alpha ray"
"Electronic music","Electronic Music","Electronic art music","Electronic music/Art music"
"Albert I of Germany","Albert I of Hapsburg"
"Alfonso X of Castile","Alphonso X"
"D. W. Griffith","DwGriffith","D.W. Griffith"
"Six Degrees of Kevin Bacon","Bacon number"
"Chris Houston","Christopher Houston"
"Cocos (Keeling) Islands","History of the Cocos (Keeling) Islands","Geography of the Cocos (Keeling) Islands","Government of the Cocos (Keeling) Islands","Cocos Islands/Economy","Communications in the Cocos (Keeling) Islands","Transport in the Cocos (Keeling) Islands","Military of the Cocos (Keeling) Islands"
"Hierarchy","Containment hierarchy"
"Cluster sampling","ClusterSampling"
"Red Army Faction","Baader-Meinhof-Gang"
"Civilization (video game)","Civilization/video game"
"Arthur, Prince of Wales","Arthur Tudor"
"Mousse","Chocolate mousse"
"MS Estonia","Estonia disaster"
"Application software","Application program"
"Old Italic script","Estruscan alphabet"
"Conspiracy theory","Conspiracy theories"
"Bronze Age","Bronze age"
"Computer data storage","Computer Storage"
"Arbitrary-precision arithmetic","Bignum"
"AutoCAD DXF","DXF"
"Color space","Color space encoding"
"Consociationalism","Consociational state"
"Authoritarianism","Authoritarinism"
"List of United Kingdom general elections","United Kingdom general election"
"Electromagnetic radiation","Electromagnectic radiation"
"Cryptanalysis","CryptanalysiS"
"Aye-aye","Daubentoniidae"
"Albert III, Duke of Saxony","Albert III, Elector of Saxony"
"Chessboard","Chess Board"
"Dragon Ball Z","Dragonball Z"
"Constellation","ConStellations"
"Computer science","Computer Science"
"Politics of the Czech Republic","Czech republic/Government"
"Academy Award for Best Picture","AcademyAwards/BestPicture"
"Edgar Allan Poe","Edgar Allen Poe"
"The World Factbook","CIAWorldFactbook"
"A fortiori argument","A fortiori"
"Cytoprotection","Cytoprotectant"
"Blanching (cooking)","Cooking/Blanching"
"Blue-tailed Skink","Blue-tailed skink"
"Closeted","Closeted person"
"Atlas (computer)","Atlas computer"
"Cape Breton Island","Cape Breton"
"Class war","Class warfare"
"Defenestrations of Prague","Defenestration of Prague"
"Amorphous solid","Amorphous"
"Baltic Sea","BalticSea"
"Binomial distribution","BinomialDistribution","BinomialDistribution/Revisited"
"Aberration of light","Astronomical aberration"
"Battle of the Ardennes","Battle of Ardennes"
"Andrea del Castagno","Castagna"
"Antisemitism","Anti-semitism","Anti-semitic","Anti-Semite"
"Abaris the Hyperborean","Abaris"
"Peripheral","Computer peripheral"
"The Avengers","Avengers"
"Diagnostic and Statistical Manual of Mental Disorders","DSM-IV","DSM-IV-TR","DSM-III","DSM-III-R"
"Babel fish","BABELFISH","Babelfish"
"Algernon Charles Swinburne","Algernon Swinburne"
"Abdur Rahman","Abd-ar-rahman"
"Dualism","DualIsm"
"All Saints' Day","All Saints Day"
"CamelCase","CamelHumpedWord"
"Aviation","Air Transport","Air transport"
"Knowledge","A priori and a posterior knowledge"
"List of Atlas Shrugged characters","AtlasShruggedCharacters","DagnyTaggart"
"Titius–Bode law","Bodes law"
"Latin American Integration Association","ALADI"
"Americentrism","American bias"
"Sri Lanka","Ceylon"
"Monetary policy","Monetary policy of central banks"
"Niobium","Columbium"
"List of territorial disputes","Non-independent areas"
"Character (computing)","Computer character"
"Atomic orbital","Atomic orbitals"
"Foreign relations of Azerbaijan","Azerbaijan/Foreign relations"
"Ayn Rand","AynRand"
"Anatomical Therapeutic Chemical Classification System","ATC classification"
"Enron","EnroN"
"Alcobaça","Alcobaca"
"Comedy film","ComedyFilm","Comedy Film"
"Foreign relations of Andorra","Andorra/Transnational issues"
"Sodium hydroxide","Caustic soda"
"Aphex Twin","AphexTwin"
"Cryptography","CryptologY","CryptographY","Cryptology","CryptographY/Hashfunctions","Cryptographer"
"Algemeen Nijmeegs Studentenblad","Algemeen Nederlands Studentenblad"
"English cuisine","England/Food and Drink"
"Bhangra","Bangra"
"Allotropy","Allotrope","Allotropes","ElementalAllotropes"
"For Whom the Bell Tolls","ErnestHemingway/ForWhomtheBellTolls","ErnestHemingway/RobertJordan","Ernest Hemingway/For Whom the Bell Tolls","Ernest Hemingway/Robert Jordan"
"Object Pascal","Delphi programming language"
"Design by contract","Design by Contract"
"Cecil B. DeMille","Cecil B. Demille"
"Anglicanism","Anglican"
"Anal sex","Anal intercourse","Buttfuck"
"Poly drug use","Drug Mix"
"Antiterrorism and Effective Death Penalty Act of 1996","Anti-Terrorism and Effective Death Penalty Act"
"Cephalic index","Dolichocephalic"
"Academy Awards","AcademyAwards","Academy award"
"Jersey","Channel Islands/Jersey"
"Cardinal number","Cardinal numbers"
"List of games based on Dune","Dune/Videogames","Dune computer and video games"
"British Virgin Islands","Transnational issues of the British Virgin Islands"
"Ichthys","Christianity/Fish"
"Jester","Court Jester"
"Baptists","Baptist church","Baptist Church"
"Discrimination","Discriminatory"
"Dmitri Mendeleev","Dmitry Ivanovich Mendeleev"
"University of Cambridge","Cambridge University"
"Bolsheviks","Bolshevik"
"Foreign relations of Bangladesh","Bangladesh/Transnational issues","Bangladesh/Foreign relations"
"Catalysis","Catalyzes","Catalyst"
"Demographics of the Czech Republic","Czech republic/People"
"Cayman Islands","Military of the Cayman Islands"
"Musique concrète","Concrete music"
"Dreamcast","DreamCast"
"CIM-10 Bomarc","BOMARC"
"Symmetry in biology","Bilateral symetry","Bilateral symmetry"
"Alzheimer's disease","Alzheimers disease"
"Alfonso XIII of Spain","Alphonso XIII"
"Charlize Theron","Charlize Theron/Filmography"
"Code division multiple access","CDMA"
"Amplification","Amplify"
"Alcohol intoxication","Blind drunk","Drunk","Drunkeness"
"Bell curve","Bell Curve"
"Arctic fox","Alopex lagopus"
"Sanger sequencing","Chain termination method"
"The Boston Globe","Boston Globe"
"Electrical engineering","ElectricalEngineering"
"Human sacrifice","Celts and human sacrifice"
"Intermolecular force","Dipole-dipole bond","Dipole–dipole attraction"
"Arecaceae","Arecales"
"Canonization","Canonization of Saints"
"French hip hop","African rap in France"
"Didgeridoo","Didjeridu","Didjeridoo"
"Globe","Celestial globe"
"College football","College Football"
"Christian eschatology","Christian escathology"
"B. F. Skinner","B.F. Skinner"
"Archimedes' screw","Archimedes screw"
"Biochemistry","BioChemistry"
"Colloid","Colloids"
"The Hague","Den Haag"
"Utility knife","Box-cutter knives"
"Politics of Albania","AlbaniaGovernment"
"Esperanto","EsperantoLanguage"
"European Green Party","European Federation of Green Parties"
"A. A. Milne","A.A. Milne"
"Alfred, Duke of Saxe-Coburg and Gotha","Alfred Ernest Albert"
"Argument from ignorance","Argument by lack of imagination"
"International Bureau of Weights and Measures","BIPM"
"Premillennialism","Chiliasm"
"Indigenous peoples of Arizona","Natives of Arizona"
"Ploidy","Diploidy"
"Galjoen","Coracinus capensis"
"Cardinal","Cardinals"
"Slaughterhouse","Abattoir"
"Capitalism","Capitalism/different meanings","Capitalist"
"Counterpoint","Counter Point"
"Czech Republic","Czech republic"
"Ashmore and Cartier Islands","Ashmore And Cartier Islands","Ashmore and Cartier Islands/Geography","Ashmore and Cartier Islands/People","Ashmore and Cartier Islands/Government","Ashmore and Cartier Islands/Transportation","Ashmore and Cartier Islands/Economy","Ashmore and Cartier Islands/Military"
"Computing","ComputinG"
"Archaeoastronomy","Archeoastronomy"
"Wargaming","CoSims"
"Don DeLillo","Don Delillo"
"Stroke","Cerebrovascular Accident"
"Xenarthra","Edentata"
"Arianism","Arians"
"Dailies","Daily rushes"
"Documentary film","Documentary Film"
"George Orwell","Eric Arthur Blair"
"Category theory","CategoryTheory"
"Data set","DataSeT"
"Pneumatic motor","Air engine"
"Dredging","Dredgers"
"Berry Berenson","Bernthia Perkins"
"Encryption","CipheR"
"Khmer language","Cambodian Language"
"Context-free grammar","Context free grammars"
"Bitwise operation","Binary and"
"Narcissus (plant)","Daffodil"
"Armillary sphere","Armillary"
"Common sense","CommonSense"
"Second Vatican Council","Catholicism/Second Vatican Council"
"Direct connect","Direct Connect"
"Character encoding","Character set"
"Telecommunications in Belarus","Media in Belarus"
"Bacillus thuringiensis","Bacillus Thuringiensis"
"Wikipedia:Nupedia and Wikipedia","Wikipedia:Adding Wikipedia articles to Nupedia","Wikipedia:Historical Wikipedia pages/Chalkboard candidates"
"Declaration of independence","Declaration of Independence"
"Pope Alexander VIII","Alexander VIII"
"Same-sex relationship","Anthropological classification of homosexuality"
"Gavoi","Cartzonna"
"Ruhollah Khomeini","Ayatollah Khomeini"
"Corrado Gini","Corrodo Gini"
"La Malinche","Dona Marina"
"Eukaryote","Eukaryotic cell"
"Wipe (transition)","Clock wipe"
"Differentiable function","Differentiability"
"Battle of the Nile","Battle of Aboukir Bay"
"Fairchild Republic A-10 Thunderbolt II","A-10 Warthog"
"Albrecht III Achilles, Elector of Brandenburg","Albert Archilles"
"DECnet","Decnet"
"Bob Dylan","Bob Dylans Debut"
"Claude Louis Berthollet","C. L. Berthollet"
"Central tendency","Central Tendancy"
"Bipolar II disorder","Bipolar II"
"Modus ponens","Affirming the antecedent"
"Christmas Island","History of Christmas Island","Geography of Christmas Island","Demographics of Christmas Island","Government of Christmas Island","Economy of Christmas Island","Communications in Christmas Island","Transportation in Christmas Island","Military of Christmas Island"
"Industry Standard Architecture","AT bus architecture"
"Catholic Church","Catholics","Catholic church"
"Washington, D.C.","District of Columbia"
"Afro Celt Sound System","Afrocelt Sound System"
"ITU-T","CCITT"
"Chief executive officer","CEO","Chief Executive Officer"
"Euclid","EucliD"
"Azores","Acores"
"Delian League","Athenian Empire"
"Clan McDuck","Angus McDuck","Downy O'Drake","Dingus McDuck"
"Wu Xing","Chinese element"
"Afghanistan","Afghanistan (1911 Encyclopedia)"
"Establishing shot","Establishing Shot"
"Concept","Abstract concept"
"Computer multitasking","Computer/Multitasking"
"A priori and a posteriori","A priori and a posteriori knowledge"
"Charles Farrar Browne","Artemus Ward"
"Collectible card game","Collectable card games","Collectable card game"
"Dungeon (magazine)","DungeonMagazine"
"Alfonso Arau","Alfonso Aráu"
"Kabylie","Al-Quabail Mountains"
"Orange (colour)","Color/Orange","Color/orange"
"Albert II, Margrave of Meissen","Albert the Degenerate"
"Addition","Addition of natural numbers"
"Footage","A roll"
"Geography of Afghanistan","AfghanistanGeography","Afghanistan/Geography"
"Telephone exchange","Automatic telephone exchange"
"Botswana Defence Force","Military of Botswana"
"Computational complexity theory","Computational complexity"
"Hasidic Judaism","Chasidic Judaism"
"Cave tetra","Cave Tetra"
"An American in Paris","AnAmericanInParis"
"Diaspora studies","Diaspora Studies","Expellees"
"Cryptomonad","Cryptomonads"
"Coral 66","CORAL66"
"Origins of baseball","Baseball/History of baseball"
"Acts of the Apostles","Acts"
"Road bicycle","Bicycling/Road"
"Aleksandr Solzhenitsyn","Aleksandr Isaevich Solzhenitsyn","Alexander Solzhenitsyn"
"Affirmation in law","Affirmation (declaration of truth)"
"Commonwealth of Nations","British Commonwealth"
"Indigenous peoples","Autochthones"
"Steer wrestling","Bulldogging"
"Austrian German","AustriaLanguage"
"Extermination camp","Death factory"
"Bipolar disorder","Bipolar Disorder","Bipolar spectrum"
"Durham University","Durham University (England)"
"Tree (data structure)","Child node"
"Alfonso XI of Castile","Alphonso XI"
"Nuisance abatement","Abatement of a nuisance"
"Analog Science Fiction and Fact","Astounding magazine","Analog Magazine","Analog magazine","Analog Science Fiction","Astounding Science Fiction"
"Britney Spears","BritneySpears"
"Chrysoberyl","Alexandrite"
"Executive (government)","Executive power"
"Classical music","Classical Music"
"Banach space","Complete normed vector space"
"Computer vision","Computer Vision"
"Cooking","Wikipedia:Cooking basic topics"
"Manama","Al-Manamah"
"Alfred Kinsey","Alfred C. Kinsey"
"Roman Catholic Archdiocese for the Military Services, USA","Archdiocese for the Military Services"
"Framestore","Computer Film Company"
"2001 anthrax attacks","Cases of anthrax"
"Cross compiler","Cross-compilation"
"Andrew Jackson","Andrew Jackson/First Inaugural Address","Andrew Jackson/Second Inaugural Address"
"Double hull","Double-hulled tanker"
"Charleston","CharlestoN"
"Charles Darwin","Charles Robert Darwin"
"Afroasiatic languages","AfroAsiaticLanguages","Afro-asiatic languages"
"Esperantujo","EsperantujO","Esperantio"
"School voucher","Education vouchers"
"Centum-satem isogloss","Centum"
"Ecstasy","Ecstacy"
"Al Gore","Albert Gore","Albert Arnold Gore/Criticisms","Al Gore/Criticisms"
"You have two cows","Cow story"
"Dianetics","DianeticS"
"Computer font","Bitmap font"
"Board game","Board games"
"Religion in Poland","Religious denominations in Poland"
"Anarcho-capitalism","AnarchoCapitalism","AnarchoCapitalists","Anarcho-capitalists"
"Expected value","Expectation operator"
"Archaeopteryx","Archeopteryx"
"Ajax the Lesser","Ajax of Locris"
"Civilization","Ancient civilization"
"Cauchy sequence","Cauchy sequences"
"Andorra","AndorrA"
"Chaco Culture National Historical Park","Chaco Canyon"
"Abiotic component","Abiotic factors"
"Early music","Early Music"
"Gruyère cheese","Cheese/Gruyere"
"Albert, Duke in Prussia","Albert of Brandenburg-Ansbach"
"Digital video","Digital Video"
